File;Generations;Time;Fitness;Regenerators;Disconnected
dataN40P8Inst4.txt;14;659;200;2;0
dataN40P8Inst1.txt;15;692;300;3;0
dataN40P8Inst5.txt;15;678;200;2;0
dataN40P8Inst2.txt;15;689;200;2;0
dataN40P8Inst3.txt;12;579;300;3;0
dataN40P9Inst3.txt;19;1013;200;2;0
dataN40P9Inst1.txt;14;657;300;3;0
dataN40P9Inst4.txt;20;1104;200;2;0
dataN40P9Inst2.txt;14;645;200;2;0
dataN40P9Inst10.txt;12;541;200;2;0
dataN40P9Inst8.txt;13;620;300;3;0
dataN40P9Inst5.txt;15;711;200;2;0
dataN40P9Inst9.txt;16;833;200;2;0
dataN40P9Inst7.txt;14;706;200;2;0
dataN40P9Inst6.txt;15;732;200;2;0
dataN60P1Inst3.txt;14;1928;1600;16;0
dataN60P1Inst4.txt;13;1648;1900;14;1
dataN60P1Inst2.txt;8;825;1400;14;0
dataN60P1Inst1.txt;15;2202;1600;16;0
dataN60P1Inst10.txt;7;758;1800;18;0
dataN60P1Inst8.txt;10;1007;1600;16;0
dataN60P1Inst9.txt;17;2253;2000;20;0
dataN60P1Inst7.txt;20;2712;1500;15;0
dataN60P1Inst6.txt;19;2709;1800;18;0
dataN60P1Inst5.txt;6;767;1700;17;0
dataN60P2Inst4.txt;17;2257;1000;10;0
dataN60P2Inst3.txt;11;1170;1200;12;0
dataN60P2Inst5.txt;9;1050;1000;10;0
dataN60P2Inst2.txt;11;1308;1100;11;0
dataN60P2Inst1.txt;12;1411;900;9;0
dataN60P3Inst3.txt;10;933;600;6;0
dataN60P3Inst2.txt;13;1157;700;7;0
dataN60P3Inst4.txt;15;1365;500;5;0
dataN60P3Inst10.txt;19;1890;700;7;0
dataN60P3Inst1.txt;20;2236;600;6;0
dataN60P3Inst8.txt;12;1080;600;6;0
dataN60P3Inst9.txt;18;1988;700;7;0
dataN60P3Inst6.txt;12;1276;700;7;0
dataN60P3Inst7.txt;8;839;600;6;0
dataN60P3Inst5.txt;9;768;700;7;0
dataN60P4Inst4.txt;19;1546;500;5;0
dataN60P4Inst5.txt;19;1501;700;7;0
dataN60P4Inst1.txt;17;1412;600;6;0
dataN60P4Inst2.txt;20;1956;500;5;0
dataN60P4Inst3.txt;15;1286;700;7;0
dataN60P5Inst3.txt;19;1492;400;4;0
dataN60P5Inst4.txt;18;1385;500;5;0
dataN60P5Inst1.txt;18;1363;500;5;0
dataN60P5Inst10.txt;19;1470;600;6;0
dataN60P5Inst2.txt;19;1566;400;4;0
dataN60P5Inst8.txt;18;1439;400;4;0
dataN60P5Inst9.txt;20;1783;500;5;0
dataN60P5Inst5.txt;19;1465;600;6;0
dataN60P5Inst6.txt;20;1660;500;5;0
dataN60P5Inst7.txt;19;1484;700;7;0
dataN60P6Inst4.txt;20;1582;600;6;0
dataN60P6Inst5.txt;20;1569;600;6;0
dataN60P6Inst1.txt;20;1517;600;6;0
dataN60P6Inst2.txt;20;1640;600;6;0
dataN60P6Inst3.txt;18;1531;700;7;0
dataN60P7Inst3.txt;19;1462;300;3;0
dataN60P7Inst4.txt;20;1432;500;5;0
dataN60P7Inst1.txt;20;1504;500;5;0
dataN60P7Inst10.txt;20;1510;400;4;0
dataN60P7Inst2.txt;20;1557;400;4;0
dataN60P7Inst8.txt;20;1519;400;4;0
dataN60P7Inst9.txt;20;1584;600;6;0
dataN60P7Inst5.txt;20;1577;400;4;0
dataN60P7Inst6.txt;20;1529;300;3;0
dataN60P7Inst7.txt;20;1548;500;5;0
dataN60P8Inst4.txt;20;1485;400;4;0
dataN60P8Inst5.txt;20;1573;500;5;0
dataN60P8Inst1.txt;20;1540;500;5;0
dataN60P8Inst2.txt;20;1541;600;6;0
dataN60P8Inst3.txt;20;1564;500;5;0
dataN60P9Inst3.txt;20;1550;400;4;0
dataN60P9Inst4.txt;20;1507;500;5;0
dataN60P9Inst1.txt;20;1545;400;4;0
dataN60P9Inst10.txt;19;1413;500;5;0
dataN60P9Inst2.txt;19;1441;500;5;0
dataN60P9Inst8.txt;19;1414;500;5;0
dataN60P9Inst9.txt;20;1532;400;4;0
dataN60P9Inst5.txt;20;1505;500;5;0
dataN60P9Inst6.txt;20;1514;500;5;0
dataN60P9Inst7.txt;20;1489;400;4;0
dataN80P1Inst3.txt;19;3428;1900;14;1
dataN80P1Inst4.txt;10;1531;1900;19;0
dataN80P1Inst1.txt;18;3335;2000;20;0
dataN80P1Inst10.txt;12;1909;2000;20;0
dataN80P1Inst2.txt;17;3069;2500;20;1
dataN80P1Inst8.txt;5;657;2200;22;0
dataN80P1Inst9.txt;19;3187;1900;19;0
dataN80P1Inst6.txt;11;1784;2400;19;1
dataN80P1Inst5.txt;4;425;2100;21;0
dataN80P1Inst7.txt;12;2123;1900;19;0
dataN80P2Inst4.txt;19;2676;1000;10;0
dataN80P2Inst5.txt;18;2565;1200;12;0
dataN80P2Inst1.txt;16;1888;1000;10;0
dataN80P2Inst2.txt;20;2650;1200;12;0
dataN80P2Inst3.txt;16;2256;1300;13;0
dataN80P3Inst3.txt;20;2047;800;8;0
dataN80P3Inst4.txt;20;2009;1000;10;0
dataN80P3Inst1.txt;19;2061;800;8;0
dataN80P3Inst10.txt;19;2304;800;8;0
dataN80P3Inst2.txt;18;1940;700;7;0
dataN80P3Inst9.txt;20;1992;1000;10;0
dataN80P3Inst8.txt;16;1755;800;8;0
dataN80P3Inst5.txt;20;2090;800;8;0
dataN80P3Inst6.txt;20;1988;800;8;0
dataN80P3Inst7.txt;20;2044;1200;12;0
dataN80P4Inst5.txt;19;1892;800;8;0
dataN80P4Inst4.txt;20;2064;1100;11;0
dataN80P4Inst1.txt;19;1970;1100;11;0
dataN80P4Inst2.txt;20;2015;1200;12;0
dataN80P4Inst3.txt;20;1994;1200;12;0
dataN80P5Inst4.txt;20;1931;1100;11;0
dataN80P5Inst3.txt;20;2011;1000;10;0
dataN80P5Inst1.txt;20;1984;1200;12;0
dataN80P5Inst10.txt;20;1924;1100;11;0
dataN80P5Inst2.txt;20;1984;1100;11;0
dataN80P5Inst9.txt;20;2006;1300;13;0
dataN80P5Inst8.txt;20;1903;1300;13;0
dataN80P5Inst6.txt;20;1845;1200;12;0
dataN80P5Inst5.txt;20;1951;1100;11;0
dataN80P5Inst7.txt;20;1881;1000;10;0
dataN80P6Inst5.txt;19;1790;1200;12;0
dataN80P6Inst4.txt;20;1874;1300;13;0
dataN80P6Inst2.txt;20;1923;1300;13;0
dataN80P6Inst1.txt;20;1926;1100;11;0
dataN80P6Inst3.txt;20;1954;1100;11;0
dataN80P7Inst4.txt;20;1867;1300;13;0
dataN80P7Inst3.txt;20;1851;1300;13;0
dataN80P7Inst10.txt;20;1913;1300;13;0
dataN80P7Inst1.txt;20;1861;1300;13;0
dataN80P7Inst2.txt;20;1874;1300;13;0
dataN80P7Inst9.txt;19;1781;1300;13;0
dataN80P7Inst8.txt;20;1867;1300;13;0
dataN80P7Inst6.txt;20;1860;1300;13;0
dataN80P7Inst5.txt;20;1884;1300;13;0
dataN80P7Inst7.txt;20;1919;1300;13;0
dataN80P8Inst5.txt;20;1859;1300;13;0
dataN80P8Inst4.txt;20;1905;1300;13;0
dataN80P8Inst2.txt;20;1932;1300;13;0
dataN80P8Inst1.txt;20;1967;1300;13;0
dataN80P9Inst4.txt;20;1852;1300;13;0
dataN80P8Inst3.txt;20;1909;1300;13;0
dataN80P9Inst3.txt;20;1855;1300;13;0
dataN80P9Inst10.txt;20;1783;1300;13;0
dataN80P9Inst1.txt;20;1866;1300;13;0
dataN80P9Inst9.txt;20;1801;1300;13;0
dataN80P9Inst2.txt;20;1812;1300;13;0
dataN80P9Inst8.txt;20;1779;1300;13;0
dataN80P9Inst6.txt;20;1807;1300;13;0
dataN80P9Inst5.txt;20;2096;1300;13;0
dataN80P9Inst7.txt;20;1813;1300;13;0
