sep=;
"Size";"Time(ms)";"Fitness"
40.0;313.8725714285714;683.8857142857142
60.0;766.5814285714284;741.3857142857142
80.0;1327.2287228915663;818.0285714285716
100.0;2419.237857142857;865.8285714285714
