sep=;
"Size";"Time(ms)";"Fitness"
40.0;70.98528571428571;673.0285714285716
60.0;221.23428571428573;708.7571428571428
80.0;332.5174985656913;775.5285714285714
100.0;550.5232857142857;798.6571428571427
