sep=;
"Algorithm";"Time(ms)";"Generations";"Fitness";"Regenerators"
"Bee Colony Optimization";5752.878487664945;28.521046901893282;726.5535714285714;4.8209285714285715
"Custom Algorithm";293.8150889271371;25.44904432013769;738.9928571428572;4.918928571428573
"Genetic Algorithm";1206.7301450086056;61.813138841078604;777.282142857143;5.187857142857142
