sep=;
"Size";"Time(ms)";"Fitness"
40.0;609.4018571428571;664.1714285714286
60.0;3072.220142857142;693.2
80.0;8356.28237923121;758.4571428571428
100.0;10973.609571428573;790.3857142857144
