sep=;
Size;Problem;Instance;Generations;Time;Fitness;Regenerators;Disconnected;Seed
100;3;08;112;22207;1500;7;0;50
100;3;09;136;28705;1500;6;0;50
100;3;10;50;11007;1600;7;0;50
100;5;01;91;21710;800;4;0;50
100;5;02;143;35902;900;4;0;50
100;5;03;10;2098;800;4;0;50
100;5;04;44;10299;900;4;0;50
100;5;05;30;6554;800;4;0;50
100;5;06;86;20156;800;4;0;50
100;5;07;64;14140;800;4;0;50
100;5;08;30;6312;900;4;0;50
100;5;09;41;9487;800;4;0;50
100;5;10;20;4734;900;4;0;50
100;7;01;2;225;600;3;0;50
100;7;02;2;267;600;3;0;50
100;7;03;4;719;600;3;0;50
100;7;04;2;264;600;3;0;50
100;7;05;8;1503;500;2;0;50
100;7;06;2;335;600;3;0;50
100;7;07;7;1408;600;3;0;50
100;7;08;9;1746;600;3;0;50
100;7;09;4;682;600;3;0;50
100;7;10;3;459;600;3;0;50
100;9;01;2;367;400;2;0;50
100;9;02;2;229;400;2;0;50
100;9;03;2;220;400;2;0;50
100;9;04;2;229;400;2;0;50
100;9;05;2;225;400;2;0;50
100;9;06;2;221;400;2;0;50
100;9;07;2;225;400;2;0;50
100;9;08;2;208;400;2;0;50
100;9;09;2;211;400;2;0;50
100;9;10;2;223;400;2;0;50
