File;Generations;Time;Fitness;Regenerators;Disconnected
weight_dataN60P3Inst1.txt;353;56524;3400;9;1
weight_dataN60P3Inst10.txt;142;22459;2100;8;0
weight_dataN60P3Inst2.txt;33;4253;2900;8;1
weight_dataN60P3Inst3.txt;109;16596;2400;9;0
weight_dataN60P3Inst4.txt;283;46038;2600;9;0
weight_dataN60P3Inst5.txt;86;13576;2700;11;0
weight_dataN60P3Inst6.txt;445;72544;2400;7;1
weight_dataN60P3Inst7.txt;76;11391;2900;6;2
weight_dataN60P3Inst8.txt;234;39717;3200;10;0
weight_dataN60P3Inst9.txt;32;4584;2800;10;0
weight_dataN60P5Inst1.txt;192;29261;900;4;0
weight_dataN60P5Inst10.txt;82;12201;1600;5;1
weight_dataN60P5Inst2.txt;98;15469;2300;7;1
weight_dataN60P5Inst3.txt;58;9617;2000;6;1
weight_dataN60P5Inst4.txt;16;1115;1500;6;0
weight_dataN60P5Inst5.txt;90;12761;2100;7;0
weight_dataN60P5Inst6.txt;66;9650;1600;5;0
weight_dataN60P5Inst7.txt;18;1638;1700;4;1
weight_dataN60P5Inst8.txt;16;1455;2400;7;1
weight_dataN60P5Inst9.txt;53;7588;1900;6;1
weight_dataN60P7Inst1.txt;24;2279;1700;6;0
weight_dataN60P7Inst10.txt;20;1462;1100;4;0
weight_dataN60P7Inst2.txt;26;2361;1200;4;0
weight_dataN60P7Inst3.txt;474;84879;1500;5;0
weight_dataN60P7Inst4.txt;153;21978;1400;5;0
weight_dataN60P7Inst5.txt;24;1702;800;3;0
weight_dataN60P7Inst6.txt;17;1210;1500;5;0
weight_dataN60P7Inst7.txt;58;7330;1200;5;0
weight_dataN60P7Inst8.txt;26;2136;800;3;0
weight_dataN60P7Inst9.txt;144;24331;2100;5;1
weight_dataN60P9Inst1.txt;29;2033;500;2;0
weight_dataN60P9Inst10.txt;29;2075;400;2;0
weight_dataN60P9Inst2.txt;29;2210;1300;4;0
weight_dataN60P9Inst3.txt;31;2513;900;3;0
weight_dataN60P9Inst4.txt;29;2115;700;3;0
weight_dataN60P9Inst5.txt;30;2243;800;3;0
weight_dataN60P9Inst6.txt;19;1293;900;3;0
weight_dataN60P9Inst7.txt;23;1559;1300;5;0
weight_dataN60P9Inst8.txt;27;1801;500;2;0
weight_dataN60P9Inst9.txt;51;5748;1600;5;0
weight_dataN80P1Inst1.txt;343;75351;8000;22;3
weight_dataN80P1Inst10.txt;23;4246;9300;21;6
weight_dataN80P1Inst2.txt;141;29953;9300;23;5
weight_dataN80P1Inst3.txt;446;100729;9500;22;6
weight_dataN80P1Inst4.txt;170;35792;8700;21;5
weight_dataN80P1Inst5.txt;147;31848;9700;23;5
weight_dataN80P1Inst6.txt;285;61795;9600;26;4
weight_dataN80P1Inst7.txt;457;98816;8300;21;4
weight_dataN80P1Inst8.txt;46;9614;9900;22;8
weight_dataN80P1Inst9.txt;59;13093;10400;21;9
weight_dataN80P3Inst1.txt;58;11077;3500;11;0
weight_dataN80P3Inst10.txt;455;98998;4000;12;1
weight_dataN80P3Inst2.txt;126;26338;2900;8;1
weight_dataN80P3Inst3.txt;27;4721;3300;10;1
weight_dataN80P3Inst4.txt;136;27414;3800;12;0
weight_dataN80P3Inst5.txt;82;16068;2800;9;1
weight_dataN80P3Inst6.txt;318;63338;4000;12;1
weight_dataN80P3Inst7.txt;305;64655;3600;10;1
weight_dataN80P3Inst8.txt;69;13328;3500;12;0
weight_dataN80P3Inst9.txt;35;5540;2600;10;0
weight_dataN80P5Inst1.txt;90;18419;2500;8;1
weight_dataN80P5Inst10.txt;352;77181;2300;7;0
weight_dataN80P5Inst2.txt;124;23856;2100;7;0
weight_dataN80P5Inst3.txt;200;42443;2000;5;1
weight_dataN80P5Inst4.txt;36;4992;1900;7;0
weight_dataN80P5Inst5.txt;241;45663;1500;6;0
weight_dataN80P5Inst6.txt;431;89764;2500;8;1
weight_dataN80P5Inst7.txt;49;8088;1900;5;1
weight_dataN80P5Inst8.txt;140;29291;2200;8;0
weight_dataN80P5Inst9.txt;251;53014;2500;10;0
weight_dataN80P7Inst1.txt;248;47534;1500;5;0
weight_dataN80P7Inst10.txt;287;67087;1200;4;0
weight_dataN80P7Inst2.txt;31;2744;1200;5;0
weight_dataN80P7Inst3.txt;48;6665;1500;5;0
weight_dataN80P7Inst4.txt;34;3303;1100;3;0
weight_dataN80P7Inst5.txt;57;8175;1400;5;0
weight_dataN80P7Inst6.txt;104;17507;1100;4;0
weight_dataN80P7Inst7.txt;69;12034;1600;6;0
weight_dataN80P7Inst8.txt;373;88840;1200;3;1
