sep=;
"Size";"Time(ms)";"Fitness"
40.0;364.74885714285716;685.8714285714286
60.0;2777.4802857142854;743.8285714285715
80.0;6901.068020654044;837.1816982214574
100.0;16118.500691564896;904.8095143425162
